Company,Company Score,Job Title,Location,Date,Salary
102,0.26315789473684204,140,228,1d,262
124,0.10526315789473695,294,181,4d,97
128,0.26315789473684204,343,310,3d,25
549,0.368421052631579,386,253,9d,21
145,1.0,17,140,6d,551
542,0.26315789473684204,215,129,1d,534
342,0.3157894736842106,390,252,30d+,490
267,0.10526315789473695,118,63,17d,375
537,0.5789473684210527,350,265,3d,233
475,0.6842105263157894,294,86,23d,398
300,0.6315789473684208,508,109,2d,66
564,0.3157894736842106,294,262,30d+,131
276,0.5263157894736841,321,293,17d,85
574,0.3157894736842106,142,104,10d,21
361,0.10526315789473695,271,134,3d,363
133,0.368421052631579,214,265,9d,121
514,0.052631578947368585,294,70,2d,355
107,0.4736842105263157,294,293,30d+,122
169,0.5263157894736841,19,305,2d,481
313,0.1578947368421053,34,245,13d,226
268,0.6315789473684208,6,10,17d,58
613,0.3157894736842106,384,265,30d+,37
54,0.21052631578947367,427,27,6d,456
58,0.3157894736842106,90,243,5d,4
107,0.5237109270638527,294,293,30d+,122
286,0.42105263157894757,243,243,12d,75
581,0.7894736842105265,313,77,1d,421
180,0.368421052631579,384,229,16d,529
503,0.052631578947368585,294,254,30d+,394
544,0.7894736842105265,396,189,19d,254
138,0.3157894736842106,12,63,25d,339
71,0.6315789473684208,191,230,30d+,70
463,0.6315789473684208,448,3,18d,469
155,0.7894736842105265,480,243,1d,42
199,0.5789473684210527,63,78,3d,439
130,0.6315789473684208,215,203,9d,482
450,0.736842105263158,152,178,3d,180
263,0.21052631578947367,305,68,11d,175
294,0.4736842105263157,186,130,10d,275
198,0.7894736842105265,329,5,3d,606
503,0.5789473684210527,294,254,19d,112
31,0.5789473684210527,354,293,9d,245
335,0.8947368421052628,294,243,2d,289
81,0.4736842105263157,68,179,5d,247
510,0.6315789473684208,469,156,5d,303
55,0.5263157894736841,371,116,5d,146
330,0.5263157894736841,294,278,30d+,438
603,0.1578947368421053,245,204,1d,411
406,0.6842105263157894,236,243,2d,98
599,0.4736842105263157,487,293,16d,102
78,0.42105263157894757,294,68,9d,120
75,0.5263157894736841,11,17,2d,517
499,0.9473684210526319,47,67,2d,574
289,0.10526315789473695,230,26,3d,88
214,0.6842105263157894,294,293,2d,288
360,0.7894736842105265,173,93,3d,199
57,0.7894736842105265,51,293,6d,203
527,0.9473684210526319,73,241,30d+,388
390,0.5789473684210527,327,243,1d,443
343,0.368421052631579,294,141,30d+,103
